country,year,Rule_of_Law,Regulatory_Quality,Govt_Effectiveness,Control_of_Corruption,Political_Stability,Voice_Accountability,MktCap_GDP_pct,Portfolio_Inflows_USD,GDP_USD,country_name
GBR,2022,1.2994581,1.6491931,1.2932604,1.6352771,0.3676912,1.3180973,97.3198877208869,-39787327232.5049,3181244350465.41,Reino Unido
GBR,2023,1.2703547,1.5889865,1.1378943,1.4745753,0.3683427,1.2519674,,-32039697378.4906,3420796653789.08,Reino Unido
GBR,2024,1.269914,1.5112377,1.1849099,1.5097548,0.2577085,1.3006116,,-4647965639.63956,3686033044482.13,Reino Unido
IND,2000,0.2604152,-0.3746035,-0.5480326,-0.2110909,-0.9733951,0.2627985,48.1747500764228,2481311864.49469,468395521654.458,Índia
IND,2001,,,,,,,30.6467519464107,2949583338.55138,485440139204.171,Índia
IND,2002,-0.0434055999999999,-0.389617799999999,-0.4818453,-0.5564837,-1.2778882,0.3144249,33.4380606971708,1063391576.38028,514939140318.756,Índia
IND,2003,0.0275527,-0.441382,-0.4274791,-0.547555599999999,-1.42092669999999,0.332765,50.8465706710106,8216187274.33701,607700687237.318,Índia
IND,2004,0.0575144,-0.2047551,-0.1952701,-0.3879804,-1.0339705,0.3455787,58.597294477825,9053979533.38133,709152728830.775,Índia
IND,2005,0.1692788,-0.177473699999999,-0.1809739,-0.4094793,-0.8561375,0.4298512,76.1521145313341,12151206547.739,820383763511.445,Índia
IND,2006,0.2268876,-0.1925709,-0.1259439,-0.2300042,-0.8196652,0.5500503,95.2151519574149,9509114657.71346,940259888787.721,Índia
IND,2007,0.1942209,-0.2088541,-0.0160503,-0.327370999999999,-0.8184973,0.5529108,161.239453726325,32862817217.0827,1216736438834.96,Índia
IND,2008,0.1618552,-0.2663175,-0.1554864,-0.2950408,-0.7693557,0.5070476,66.003104287215,-15030005084.7087,1198895139005.92,Índia
IND,2009,0.150293,-0.2438041,-0.0934347,-0.3452533,-0.913954899999999,0.4657167,101.894485676839,24688929527.5495,1341888016994.9,Índia
IND,2010,0.0630896,-0.277761,-0.114147699999999,-0.3618247,-0.942319199999999,0.3954553,105.182951703662,30442226311.2953,1675615519484.96,Índia
IND,2011,-0.0132833999999999,-0.3395793,-0.0726295,-0.4906967,-1.1659038,0.3687833,68.2700641693541,-4048294106.03908,1823051829894.55,Índia
IND,2012,-0.1308812,-0.3740965,-0.0887591,-0.5029878,-1.15725679999999,0.2744517,76.0772432428783,22809104593.4461,1827637590410.41,Índia
IND,2013,-0.1159615,-0.3722425,-0.0587027,-0.4708017,-1.17090389999999,0.3021831,68.1342663963192,19891607286.6921,1856721507621.58,Índia
IND,2014,-0.165636199999999,-0.380901899999999,-0.0134938,-0.4139641,-0.817516599999999,0.2647595,82.7172077979209,12369281294.9453,2039126479154.52,Índia
IND,2015,-0.1374229,-0.3303195,0.3968483,-0.3449931,-0.7619187,0.2973847,82.9615370858036,1932581388.28164,2103588360044.94,Índia
IND,2016,-0.0823440999999999,-0.2535746,0.3761225,-0.2852229,-0.7362183,0.304626,76.0981248580096,2336743636.48133,2294796885663.16,Índia
IND,2017,-0.0399917,-0.215826699999999,0.3527821,-0.2244224,-0.572111399999999,0.2554492,96.3987783868431,5928064111.04438,2651474262755.45,Índia
IND,2018,0.020334,-0.1555625,0.5015296,-0.2079644,-0.6785888,0.2032286,153.160482470967,-4361005877.37179,2702929641648.74,Índia
IND,2019,-0.0201063,-0.0981205,0.5054858,-0.2183329,-0.590466199999999,0.1106301,76.2695069175453,13768516396.8703,2835606256558.19,Índia
IND,2020,-0.1029725,-0.1486534,0.3492894,-0.254487099999999,-0.720631199999999,0.056762,95.4245016969537,24854054527.0627,2674851578587.27,Índia
IND,2021,-0.1841026,-0.169914899999999,0.2400136,-0.300757,-0.6015988,-0.0956843999999999,112.02132346833,5223337684.68153,3167270623260.47,Índia
IND,2022,-0.1104884,-0.087658,0.3392526,-0.2924866,-0.7535037,-0.0982654999999999,101.233056167098,-16572089325.951,3346107287730.93,Índia
IND,2023,-0.0879069,-0.1271699,0.422603,-0.3353176,-0.837974,-0.142948,119.283874857038,21427093556.532,3638489096033.86,Índia
IND,2024,-0.0392287,-0.0960695999999999,0.4046051,-0.2953362,-0.785762499999999,-0.0789293,131.241426662713,-827440000.00004,3909891533858.08,Índia
JPN,2000,1.310183,0.773297,1.4003303,0.8487415,1.3326572,1.046647,63.5465700391657,-1285970962.41694,4968359075956.59,Japão
JPN,2001,,,,,,,51.7640488871256,39100776785.6178,4374711694090.87,Japão
JPN,2002,1.1457695,0.5483447,1.3101354,0.8492287,1.162444,1.0507626,49.4710801522655,-16689552683.0966,4182846045873.61,Japão
JPN,2003,1.1529042,0.9636418,1.2980431,0.8804847,1.1294391,1.0855999,65.3403699693169,87775125021.2093,4519561645253.53,Japão
JPN,2004,1.158615,1.0344553,1.3168605,0.8891675,0.9926089,1.0019434,72.7077474943828,98279635804.7707,4893116005656.56,Japão
JPN,2005,1.2069927,1.2239846,1.4051026,0.9277728,1.1883301,1.0603132,94.648292050927,131315273751.34,4831467035389.8,Japão
JPN,2006,1.2757128,1.3064725,1.4570228,0.9794703,1.2340831,1.0881164,100.269591819727,71437018625.5921,4601663122649.92,Japão
JPN,2007,1.2565533,1.2530414,1.2948017,0.8591032,1.1610812,1.1567556,94.5667556012952,45454662461.4817,4579750920354.81,Japão
JPN,2008,1.225871,1.2525058,1.2899509,0.9586641,1.0592924,1.1266166,61.014284621295,-69691958098.9389,5106679115127.3,Japão
JPN,2009,1.3097625,1.224319,1.3261157,1.1663245,1.1160327,1.2506424,62.5028140929669,12431826605.5295,5289493117993.89,Japão
JPN,2010,1.3391975,1.197376,1.3323082,1.3876183,0.9967916,1.258734,66.4651241298202,40328237340.0433,5759071769013.11,Japão
JPN,2011,1.387931,1.3335982,1.3314858,1.5406092,0.9897212,1.3005589,53.3500600588401,5644539995.81052,6233147172341.35,Japão
JPN,2012,1.3484037,1.4295254,1.3144799,1.4904141,0.9655197,1.2947394,55.4628538265445,34941063883.5548,6272362996105.03,Japão
JPN,2013,1.3734398,1.3594273,1.4512486,1.4979614,1.0478848,1.225573,87.1619932991927,169753009829.742,5212328181166.18,Japão
JPN,2014,1.4566952,1.2994963,1.7731694,1.5393479,1.2105334,1.2343567,89.4016616644297,32969269487.1727,4896994405353.29,Japão
JPN,2015,1.4360203,1.4111482,1.7060508,1.4505851,1.2226375,1.1764466,110.123633038841,11272390991.9653,4444930651964.18,Japão
JPN,2016,1.4336864,1.5287918,1.8137387,1.4452816,1.1198832,1.165848,99.0331516365327,-44844850859.3356,5003677627544.24,Japão
JPN,2017,1.4892015,1.3985802,1.7125133,1.4760635,1.169376,1.1976783,126.202199426239,16471994748.8411,4930837369151.42,Japão
JPN,2018,1.4871198,1.364542,1.8248998,1.3909549,1.1378638,1.120314,105.077091955864,-41678881715.7543,5040880939324.86,Japão
JPN,2019,1.5119949,1.3886549,1.8365282,1.4335295,1.1161393,1.0775489,120.96679808146,30895270058.7907,5117993853016.51,Japão
JPN,2020,1.5138826,1.3671823,1.8051167,1.4301233,1.1325471,1.0813117,132.926971755297,-80451873640.9795,5054068005376.28,Japão
JPN,2021,1.5319019,1.3955783,1.653038,1.4554011,1.1600529,1.0951218,129.8692412031,18637246307.2619,5039148168861.22,Japão
JPN,2022,1.5084676,1.4106972,2.0307507,1.4419346,1.2758787,1.0997002,126.22924958757,-8289793060.56092,4262463317796.53,Japão
JPN,2023,1.5084872,1.3978822,1.9883877,1.3377896,1.2674256,1.1289319,145.951960431945,25135296918.8012,4213167237905.83,Japão
JPN,2024,1.5115753,1.3296352,2.0879101,1.3570132,1.1343228,1.1161265,156.685999360649,13129481654.5234,4027597523550.58,Japão
MEX,2000,-0.5434,0.265601,0.01828,-0.052013,-0.0676808,0.1643505,16.872436951044,446800000.0,742061329749.127,México
MEX,2001,,,,,,,15.8603185594407,151000000.0,796064590549.136,México
MEX,2002,-0.2878254,0.5430047,-0.3151304,-0.323118099999999,-0.1388043,0.2942606,12.8216966143023,-103600000.0,810666116401.915,México
MEX,2003,-0.239611499999999,0.5160342,-0.270301299999999,-0.321735899999999,-0.0924325999999999,0.3394357,16.0058735770849,-123300000.0,765549967703.273,México
MEX,2004,-0.1818945,0.3851401,-0.2433608,-0.4561652,-0.153878699999999,0.4314853,20.9164756798276,-2522205000.0,819459227375.022,México
MEX,2005,-0.2086303,0.3326887,-0.1302682,-0.432437399999999,-0.3587092,0.4327973,26.0609508759757,3356656264.0,917571853529.104,México
MEX,2006,-0.2086418,0.3855941,-0.0851155,-0.337978799999999,-0.5961789,0.3267985,34.1426110116069,2794304378.0,1020265057882.01,México
MEX,2007,-0.2930473,0.359664,-0.159785899999999,-0.402557699999999,-0.6336248,0.2914444,36.0795242701998,-486360071.0,1102355554971.95,México
MEX,2008,-0.5412926,0.3449351,0.00661379999999999,-0.3871309,-0.74551,0.2666715,20.1501633904484,-3491816078.0,1161553459715.1,México
MEX,2009,-0.478466299999999,0.3417056,0.103917,-0.316011999999999,-0.7909518,0.3465963,37.3151874616726,4155359316.0,943437415024.633,México
MEX,2010,-0.5089477,0.1160396,-0.0704234,-0.383217,-0.8229063,0.302969,41.1014345516378,373087641.0,1105424238731.09,México
MEX,2011,-0.617978399999999,0.1727169,0.0989004,-0.4247504,-0.7251572,0.1509914,33.2534803203422,-6565768745.0,1229013703416.76,México
MEX,2012,-0.5948829,0.2864858,0.198193,-0.4579567,-0.8010179,0.1613289,41.8335048150227,5770381701.0,1255110424817.79,México
MEX,2013,-0.6475514,0.2862275,0.2228276,-0.5312775,-0.804453299999999,0.140441,39.6264320819484,-2430670075.0,1327436290282.67,México
MEX,2014,-0.5831095,0.2083406,0.131427,-0.7528978,-0.959658599999999,0.0591695,35.1955004578294,4833549827.0,1364507717614.13,México
MEX,2015,-0.6829719,0.1825598,0.0999956999999999,-0.840903899999999,-0.892263399999999,-0.0649057,33.1538048431838,3601271612.0,1213294467716.88,México
MEX,2016,-0.667592499999999,0.1610393,0.1280596,-0.8211672,-0.833912099999999,-0.09985,31.5409987585363,9477336142.0,1112233497452.7,México
MEX,2017,-0.7300047,0.1640815,0.0099863,-0.9481326,-1.0455954,-0.1417561,35.0225076508926,10320166859.0,1190721475906.0,México
MEX,2018,-0.8062687,-0.00317669999999999,-0.0269292,-0.9427494,-0.927316799999999,-0.0473499999999999,,2421181030.0,1256300182879.73,México
MEX,2019,-0.8760117,-0.0417639999999999,-0.00866849999999999,-0.8896518,-0.8974274,-0.0639434,,-10079099.0,1304106203902.45,México
MEX,2020,-0.986665199999999,-0.1196879,-0.0462657999999999,-0.853792,-0.7772933,-0.0915771,35.6461742134171,186227747.0,1121064767308.42,México
MEX,2021,-1.0248188,-0.191282199999999,-0.0457428999999999,-0.8733867,-0.736204699999999,-0.17373,34.9170804604158,-3163003858.0,1316569466685.95,México
MEX,2022,-1.0822517,-0.156337,-0.0874176,-0.8757541,-0.5890439,-0.240528499999999,30.9741410081466,-4660923945.0,1466934724293.06,México
MEX,2023,-1.0777054,-0.1760497,-0.0748651999999999,-0.9321625,-0.5984727,-0.2517507,32.0669850496152,-5162478344.0,1798317581486.88,México
MEX,2024,-1.15386449999999,-0.1957883,-0.2199329,-0.9408772,-0.7154541,-0.338295,,-5304670032.0,1856365616165.94,México
USA,2000,1.6861165,1.8346476,1.8902073,1.566107,1.0044581,1.2795216,147.379061960136,193600000000.0,10250947997000.0,EUA
USA,2001,,,,,,,132.146652819017,121464000000.0,10581929774000.0,EUA
USA,2002,1.652525,1.7368901,1.9329717,1.8239201,0.3794999,1.4030872,101.146635097615,54067000000.0,10929112955000.0,EUA
USA,2003,1.5943195,1.6802584,1.6606418,1.5264422,0.2636677,1.3318887,124.526145193632,33982000000.0,11456442041000.0,EUA
USA,2004,1.5033531,1.6757421,1.631481,1.6149113,0.0797789,1.2442672,133.612737929627,61787000000.0,12217193198000.0,EUA
USA,2005,1.576979,1.7387257,1.6184563,1.4877645,0.1993466,1.3300483,130.382734540376,89258000000.0,13039199193000.0,EUA
USA,2006,1.5810589,1.673324,1.5496392,1.2941505,0.4194245,1.2858301,141.644163028722,145481000000.0,13815586948000.0,EUA
USA,2007,1.560144,1.5170645,1.5470008,1.2346554,0.4595604,1.292219,137.639681557832,275617000000.0,14474226905000.0,EUA
USA,2008,1.5814023,1.5266593,1.5125018,1.3233739,0.629976,1.3259506,78.4725069790145,126805000000.0,14769857911000.0,EUA
USA,2009,1.4840388,1.3091242,1.426754,1.1486487,0.6411914,1.3010715,104.138818334713,219303000000.0,14478064934000.0,EUA
USA,2010,1.5091908,1.3517357,1.4295364,1.1573891,0.6163511,1.2938276,114.848112933717,178953000000.0,15048964444000.0,EUA
USA,2011,1.3632725,1.3974735,1.4578633,1.2705574,0.6245434,1.2317531,100.262689943548,123357000000.0,15599728123000.0,EUA
USA,2012,1.3842726,1.4422743,1.5288502,1.263101,0.6207484,1.2638759,114.85397505198,239066000000.0,16253972230000.0,EUA
USA,2013,1.3016083,1.3908667,1.5525204,1.180704,0.5795227,1.1662268,142.697743735073,-62642000000.0,16843190993000.0,EUA
USA,2014,1.3412574,1.2856555,1.6003318,1.2391968,0.6681229,1.2001675,150.02603277454,154312000000.0,17550680174000.0,EUA
USA,2015,1.3770167,1.2919442,1.5727519,1.2367604,0.6658794,1.2887597,137.688185444872,-187306000000.0,18206020741000.0,EUA
USA,2016,1.3971578,1.4076516,1.5920786,1.2420313,0.3279152,1.2417637,146.306705272649,-139701000000.0,18695110842000.0,EUA
USA,2017,1.3200336,1.509025,1.5989168,1.3058193,0.1101294,1.1236482,164.91321885409,149634000000.0,19477336549000.0,EUA
USA,2018,1.1721068,1.484217,1.6426557,1.2504255,0.2904961,1.0530998,148.23078992826,156916000000.0,20533057312000.0,EUA
USA,2019,1.1235175,1.3675576,1.5492277,1.1719722,0.0546375,1.0249835,159.420819612207,-291427000000.0,21380976119000.0,EUA
USA,2020,1.0043814,1.2778639,1.4026997,1.124297,-0.146807,0.9561038,197.3833187889,687416000000.0,21060473613000.0,EUA
USA,2021,1.0279752,1.4642419,1.4427774,1.1247591,-0.126399999999999,0.8877304,208.228052204508,-53068000000.0,23315080560000.0,EUA
USA,2022,1.0518325,1.4588295,1.4713232,1.2023562,-0.1626087,0.922751,157.384175416952,2586000000.0,25604848907611.0,EUA
USA,2023,0.9606912,1.4306863,1.3585237,1.1951066,-0.193136399999999,0.8636176,179.463180379106,45460000000.0,27292170793214.4,EUA
USA,2024,0.9617896,1.3524886,1.3599787,1.0868914,-0.0951125,0.8869557,216.290842771421,305897000000.0,28750956130731.2,EUA
