country,year,MktCap_GDP_pct,Portfolio_Inflows_USD,GDP_USD
BRA,2000,34.5034609982803,3075913756.64062,655448188259.351
BRA,2001,33.2576838644364,2481200940.0,559983704094.17
BRA,2002,24.8651835921558,1980742540.0,509795270685.19
BRA,2003,42.0182496768668,2972604810.0,558233724164.711
BRA,2004,49.3578142021198,2080933160.0,669289321944.512
BRA,2005,53.2333863775009,6451252310.0,891633826625.407
BRA,2006,64.1233587852083,7715813474.50957,1107626711163.23
BRA,2007,98.0386015500143,26217335943.55,1397114247188.89
BRA,2008,34.906605414413,-7565367449.97137,1695855391757.96
BRA,2009,80.2189953637506,37071238200.0,1666996294252.12
BRA,2010,69.9718849499809,37671282921.22,2208838108484.35
BRA,2011,46.974872486969,7173947294.34,2616156606579.21
BRA,2012,49.7903996612963,5601757311.4,2465228293706.86
BRA,2013,41.2668772197179,11126371480.21,2472819362043.74
BRA,2014,34.3599007343126,11492921645.8,2456043766032.38
BRA,2015,27.2184465616673,9786874386.37,1802211999456.42
BRA,2016,42.243234543327,11039830849.63,1795693265999.04
BRA,2017,46.2664552464381,5673535220.18999,2063514688805.78
BRA,2018,47.827652359865,-2953215824.16,1916933708352.71
BRA,2019,63.3838250884009,-1809748191.07,1873288158838.63
BRA,2020,66.9581625438007,-5206084618.91,1476107292151.95
BRA,2021,48.8359583664535,7593798086.89999,1670647464062.96
BRA,2022,40.6992264217543,11452732157.19,1951923832083.87
BRA,2023,45.2367958179069,834210216.59,2191131869706.02
BRA,2024,30.1448139796022,-17512844211.93,2185821648943.86
CHN,2000,,6912000000.0,1223754919971.05
CHN,2001,,849000000.0,1355036590251.52
CHN,2002,,2249000000.0,1489821682050.54
CHN,2003,30.4636713403437,7729000000.0,1683903309843.85
CHN,2004,22.5643099574266,10923200000.0,1984196551300.44
CHN,2005,17.3395191009478,20569000000.0,2317551298052.05
CHN,2006,41.033691444197,42861200000.0,2791498472804.33
CHN,2007,124.272951099968,18478120465.0191,3604055822571.63
CHN,2008,38.1112495628245,8464027990.96817,4667346414521.95
CHN,2009,68.8524786238225,29116669021.7512,5189577094997.58
CHN,2010,65.0431667921056,31357093655.533,6192564874453.29
CHN,2011,44.4762288163661,5308427622.574,7671757207851.29
CHN,2012,42.6276108457102,29902702074.1387,8673664713189.24
CHN,2013,40.5326196174462,32594970774.1324,9743124247267.24
CHN,2014,56.2548972900922,51915788939.8445,10674533168257.4
CHN,2015,72.5835808340326,14964496565.6,11280814787468.9
CHN,2016,63.9029590501553,23416073023.423,11456024084962.0
CHN,2017,69.4813653656583,36208879301.31,12537559062282.9
CHN,2018,44.7058557619521,60667928466.48,14147765772963.8
CHN,2019,58.8558640185154,44906049116.09,14560167101283.4
CHN,2020,81.8646786726428,80334733544.4,14996414166715.1
CHN,2021,79.3192238397069,82900846960.64,18201698719564.0
CHN,2022,62.6166578891979,38464324948.92,18316765021690.2
CHN,2023,59.8556765846528,11291258950.41,18270356654533.2
CHN,2024,62.7181039133864,-20236688840.51,18743803170827.2
DEU,2000,64.5783239896819,-27954347360.9921,1966980701145.1
DEU,2001,54.5036012508445,76890620967.9197,1966381496641.73
DEU,2002,32.6307836233992,13823426043.9609,2102350798305.89
DEU,2003,42.5699149347862,25249417533.9526,2534715518349.01
DEU,2004,41.8788117991391,-7881311243.18104,2852317768061.78
DEU,2005,41.5476294494245,22064839908.3239,2893393187361.87
DEU,2006,53.7571829522138,35648298963.8876,3046308753670.58
DEU,2007,60.423753481629,76962834218.9175,3484056680854.91
DEU,2008,29.1628668367447,-68625797941.1023,3808197720125.0
DEU,2009,37.1521747753963,20837407671.2393,3478545516683.59
DEU,2010,41.2368151824591,4762461883.98264,3467093769666.67
DEU,2011,30.978859078058,-5501286728.9299,3823575803793.78
DEU,2012,41.3268938999697,-2528212392.54079,3596483233406.25
DEU,2013,50.8561638490348,15293848772.652,3807023797050.99
DEU,2014,43.8485684872249,2688987138.64616,3964870735760.77
DEU,2015,50.0949082078409,20854937638.7276,3425099578746.09
DEU,2016,48.5197743240464,-8195206605.90619,3536787895179.0
DEU,2017,60.079981755637,-4039382213.62282,3765351626105.89
DEU,2018,43.2795387525403,-43162890335.5035,4055433215301.96
DEU,2019,52.9855978284666,-13244525796.6448,3959894794039.21
DEU,2020,57.9517289387954,-17659244079.4221,3941398957073.94
DEU,2021,57.4718950080433,-7214361527.12912,4355251953410.78
DEU,2022,44.9810563246043,-10744584569.2912,4201021706478.62
DEU,2023,47.7411977532533,-16682742417.2123,4562207532490.28
DEU,2024,43.6283922696023,-7768508014.61031,4685592577804.69
GBR,2000,154.163358398166,166864319535.916,1671597821152.97
GBR,2001,129.787370279399,-43924309882.3498,1656171009068.66
GBR,2002,103.666935952575,-1134807154.82299,1790536570743.41
GBR,2003,117.688207622641,54489461946.7069,2061227755102.04
GBR,2004,115.892551894257,37715033033.2978,2429774807762.72
GBR,2005,119.864709043085,-13204027853.1614,2551361818181.82
GBR,2006,139.043106242558,-55987613154.2232,2719558417663.29
GBR,2007,123.891584653248,-14248622355.1755,3104699879951.98
GBR,2008,63.4293117399204,101030864400.231,2945251838235.29
GBR,2009,115.110417691876,27351681975.6501,2429358155475.93
GBR,2010,107.61553654272,-53774646929.5325,2496740681057.14
GBR,2011,109.592307961893,-2414102199.17427,2675590034128.66
GBR,2012,121.028819426289,5021145017.5703,2719715961539.83
GBR,2013,141.115984497304,43508651765.5527,2796908333283.39
GBR,2014,115.736607371526,32561270309.7466,3085362169410.29
GBR,2015,,93158595151.382,2945579890258.46
GBR,2016,,-118649446909.515,2706807606538.73
GBR,2017,,110094072751.534,2699118387873.1
GBR,2018,,296700617.1852,2897028009916.05
GBR,2019,,-27085082807.7727,2875710080015.3
GBR,2020,,49988916802.6458,2724001478304.59
GBR,2021,118.935321441875,-2881019690.72679,3194559188925.93
GBR,2022,97.3198877208869,-39787327232.5049,3181244350465.41
GBR,2023,,-32039697378.4906,3420796653789.08
GBR,2024,,-4647965639.63956,3686033044482.13
IND,2000,48.1747500764228,2481311864.49469,468395521654.458
IND,2001,30.6467519464107,2949583338.55138,485440139204.171
IND,2002,33.4380606971708,1063391576.38028,514939140318.756
IND,2003,50.8465706710106,8216187274.33701,607700687237.318
IND,2004,58.597294477825,9053979533.38133,709152728830.775
IND,2005,76.1521145313341,12151206547.739,820383763511.445
IND,2006,95.2151519574149,9509114657.71346,940259888787.721
IND,2007,161.239453726325,32862817217.0827,1216736438834.96
IND,2008,66.003104287215,-15030005084.7087,1198895139005.92
IND,2009,101.894485676839,24688929527.5495,1341888016994.9
IND,2010,105.182951703662,30442226311.2953,1675615519484.96
IND,2011,68.2700641693541,-4048294106.03908,1823051829894.55
IND,2012,76.0772432428783,22809104593.4461,1827637590410.41
IND,2013,68.1342663963192,19891607286.6921,1856721507621.58
IND,2014,82.7172077979209,12369281294.9453,2039126479154.52
IND,2015,82.9615370858036,1932581388.28164,2103588360044.94
IND,2016,76.0981248580096,2336743636.48133,2294796885663.16
IND,2017,96.3987783868431,5928064111.04438,2651474262755.45
IND,2018,153.160482470967,-4361005877.37179,2702929641648.74
IND,2019,76.2695069175453,13768516396.8703,2835606256558.19
IND,2020,95.4245016969537,24854054527.0627,2674851578587.27
IND,2021,112.02132346833,5223337684.68153,3167270623260.47
IND,2022,101.233056167098,-16572089325.951,3346107287730.93
IND,2023,119.283874857038,21427093556.532,3638489096033.86
IND,2024,131.241426662713,-827440000.00004,3909891533858.08
JPN,2000,63.5465700391657,-1285970962.41694,4968359075956.59
JPN,2001,51.7640488871256,39100776785.6178,4374711694090.87
JPN,2002,49.4710801522655,-16689552683.0966,4182846045873.61
JPN,2003,65.3403699693169,87775125021.2093,4519561645253.53
JPN,2004,72.7077474943828,98279635804.7707,4893116005656.56
JPN,2005,94.648292050927,131315273751.34,4831467035389.8
JPN,2006,100.269591819727,71437018625.5921,4601663122649.92
JPN,2007,94.5667556012952,45454662461.4817,4579750920354.81
JPN,2008,61.014284621295,-69691958098.9389,5106679115127.3
JPN,2009,62.5028140929669,12431826605.5295,5289493117993.89
JPN,2010,66.4651241298202,40328237340.0433,5759071769013.11
JPN,2011,53.3500600588401,5644539995.81052,6233147172341.35
JPN,2012,55.4628538265445,34941063883.5548,6272362996105.03
JPN,2013,87.1619932991927,169753009829.742,5212328181166.18
JPN,2014,89.4016616644297,32969269487.1727,4896994405353.29
JPN,2015,110.123633038841,11272390991.9653,4444930651964.18
JPN,2016,99.0331516365327,-44844850859.3356,5003677627544.24
JPN,2017,126.202199426239,16471994748.8411,4930837369151.42
JPN,2018,105.077091955864,-41678881715.7543,5040880939324.86
JPN,2019,120.96679808146,30895270058.7907,5117993853016.51
JPN,2020,132.926971755297,-80451873640.9795,5054068005376.28
JPN,2021,129.8692412031,18637246307.2619,5039148168861.22
JPN,2022,126.22924958757,-8289793060.56092,4262463317796.53
JPN,2023,145.951960431945,25135296918.8012,4213167237905.83
JPN,2024,156.685999360649,13129481654.5234,4027597523550.58
MEX,2000,16.872436951044,446800000.0,742061329749.127
MEX,2001,15.8603185594407,151000000.0,796064590549.136
MEX,2002,12.8216966143023,-103600000.0,810666116401.915
MEX,2003,16.0058735770849,-123300000.0,765549967703.273
MEX,2004,20.9164756798276,-2522205000.0,819459227375.022
MEX,2005,26.0609508759757,3356656264.0,917571853529.104
MEX,2006,34.1426110116069,2794304378.0,1020265057882.01
MEX,2007,36.0795242701998,-486360071.0,1102355554971.95
MEX,2008,20.1501633904484,-3491816078.0,1161553459715.1
MEX,2009,37.3151874616726,4155359316.0,943437415024.633
MEX,2010,41.1014345516378,373087641.0,1105424238731.09
MEX,2011,33.2534803203422,-6565768745.0,1229013703416.76
MEX,2012,41.8335048150227,5770381701.0,1255110424817.79
MEX,2013,39.6264320819484,-2430670075.0,1327436290282.67
MEX,2014,35.1955004578294,4833549827.0,1364507717614.13
MEX,2015,33.1538048431838,3601271612.0,1213294467716.88
MEX,2016,31.5409987585363,9477336142.0,1112233497452.7
MEX,2017,35.0225076508926,10320166859.0,1190721475906.0
MEX,2018,,2421181030.0,1256300182879.73
MEX,2019,,-10079099.0,1304106203902.45
MEX,2020,35.6461742134171,186227747.0,1121064767308.42
MEX,2021,34.9170804604158,-3163003858.0,1316569466685.95
MEX,2022,30.9741410081466,-4660923945.0,1466934724293.06
MEX,2023,32.0669850496152,-5162478344.0,1798317581486.88
MEX,2024,,-5304670032.0,1856365616165.94
USA,2000,147.379061960136,193600000000.0,10250947997000.0
USA,2001,132.146652819017,121464000000.0,10581929774000.0
USA,2002,101.146635097615,54067000000.0,10929112955000.0
USA,2003,124.526145193632,33982000000.0,11456442041000.0
USA,2004,133.612737929627,61787000000.0,12217193198000.0
USA,2005,130.382734540376,89258000000.0,13039199193000.0
USA,2006,141.644163028722,145481000000.0,13815586948000.0
USA,2007,137.639681557832,275617000000.0,14474226905000.0
USA,2008,78.4725069790145,126805000000.0,14769857911000.0
USA,2009,104.138818334713,219303000000.0,14478064934000.0
USA,2010,114.848112933717,178953000000.0,15048964444000.0
USA,2011,100.262689943548,123357000000.0,15599728123000.0
USA,2012,114.85397505198,239066000000.0,16253972230000.0
USA,2013,142.697743735073,-62642000000.0,16843190993000.0
USA,2014,150.02603277454,154312000000.0,17550680174000.0
USA,2015,137.688185444872,-187306000000.0,18206020741000.0
USA,2016,146.306705272649,-139701000000.0,18695110842000.0
USA,2017,164.91321885409,149634000000.0,19477336549000.0
USA,2018,148.23078992826,156916000000.0,20533057312000.0
USA,2019,159.420819612207,-291427000000.0,21380976119000.0
USA,2020,197.3833187889,687416000000.0,21060473613000.0
USA,2021,208.228052204508,-53068000000.0,23315080560000.0
USA,2022,157.384175416952,2586000000.0,25604848907611.0
USA,2023,179.463180379106,45460000000.0,27292170793214.4
USA,2024,216.290842771421,305897000000.0,28750956130731.2
